"ID"|"Apellido"|"Cal_Crediticia"|"Genero"|"Edad"|"Tiempo_Cliente"|"Saldo"|"Tarjeta"|"Miembro_Activo"|"Salario"|"Fuera_Del_Banco"|"RangoSaldo"
"15634602"|"Hargrave"|"619,00"|"Femenino"|"41-50"|"2"|",00"|"Sí"|"Sí"|"101348.88"|"Sí"|"0 - 50179.62"
"15647311"|"Hill"|"608,00"|"Femenino"|"41-50"|"1"|"83807,86"|"No"|"Sí"|"112542.58"|"No"|"50179.62 - 100359.24"
"15619304"|"Onio"|"502,00"|"Femenino"|"41-50"|"8"|"159660,80"|"Sí"|"No"|"113931.57"|"Sí"|"150538.86 - 200718.48"
"15701354"|"Boni"|"699,00"|"Femenino"|"31-40"|"1"|",00"|"No"|"No"|"93826.63"|"No"|"0 - 50179.62"
"15737888"|"Mitchell"|"850,00"|"Femenino"|"41-50"|"2"|"125510,82"|"Sí"|"Sí"|"79084.1"|"No"|"100359.24 - 150538.86"
"15574012"|"Chu"|"645,00"|"Masculino"|"41-50"|"8"|"113755,78"|"Sí"|"No"|"149756.71"|"Sí"|"100359.24 - 150538.86"
"15592531"|"Bartlett"|"822,00"|"Masculino"|"41-50"|"7"|",00"|"Sí"|"Sí"|"10062.8"|"No"|"0 - 50179.62"
"15656148"|"Obinna"|"376,00"|"Femenino"|"21-30"|"4"|"115046,74"|"Sí"|"No"|"119346.88"|"Sí"|"100359.24 - 150538.86"
"15792365"|"He"|"501,00"|"Masculino"|"41-50"|"4"|"142051,07"|"No"|"Sí"|"74940.5"|"No"|"100359.24 - 150538.86"
"15592389"|"H?"|"684,00"|"Masculino"|"21-30"|"2"|"134603,88"|"Sí"|"Sí"|"71725.73"|"No"|"100359.24 - 150538.86"
"15767821"|"Bearce"|"528,00"|"Masculino"|"31-40"|"6"|"102016,72"|"No"|"No"|"80181.12"|"No"|"100359.24 - 150538.86"
"15737173"|"Andrews"|"497,00"|"Masculino"|"21-30"|"3"|",00"|"Sí"|"No"|"76390.01"|"No"|"0 - 50179.62"
"15632264"|"Kay"|"476,00"|"Femenino"|"31-40"|"10"|",00"|"Sí"|"No"|"26260.98"|"No"|"0 - 50179.62"
"15691483"|"Chin"|"549,00"|"Femenino"|"21-30"|"5"|",00"|"No"|"No"|"190857.79"|"No"|"0 - 50179.62"
"15600882"|"Scott"|"635,00"|"Femenino"|"31-40"|"7"|",00"|"Sí"|"Sí"|"65951.65"|"No"|"0 - 50179.62"
"15643966"|"Goforth"|"616,00"|"Masculino"|"41-50"|"3"|"143129,41"|"No"|"Sí"|"64327.26"|"No"|"100359.24 - 150538.86"
"15737452"|"Romeo"|"653,00"|"Masculino"|"51-60"|"1"|"132602,88"|"Sí"|"No"|"5097.67"|"Sí"|"100359.24 - 150538.86"
"15788218"|"Henderson"|"549,00"|"Femenino"|"21-30"|"9"|",00"|"Sí"|"Sí"|"14406.41"|"No"|"0 - 50179.62"
"15661507"|"Muldrow"|"587,00"|"Masculino"|"41-50"|"6"|",00"|"No"|"No"|"158684.81"|"No"|"0 - 50179.62"
"15568982"|"Hao"|"726,00"|"Femenino"|"21-30"|"6"|",00"|"Sí"|"Sí"|"54724.03"|"No"|"0 - 50179.62"
"15577657"|"McDonald"|"732,00"|"Masculino"|"41-50"|"8"|",00"|"Sí"|"Sí"|"170886.17"|"No"|"0 - 50179.62"
"15597945"|"Dellucci"|"636,00"|"Femenino"|"31-40"|"8"|",00"|"Sí"|"No"|"138555.46"|"No"|"0 - 50179.62"
"15699309"|"Gerasimov"|"510,00"|"Femenino"|"31-40"|"4"|",00"|"Sí"|"No"|"118913.53"|"Sí"|"0 - 50179.62"
"15725737"|"Mosman"|"669,00"|"Masculino"|"41-50"|"3"|",00"|"No"|"Sí"|"8487.75"|"No"|"0 - 50179.62"
"15625047"|"Yen"|"846,00"|"Femenino"|"31-40"|"5"|",00"|"Sí"|"Sí"|"187616.16"|"No"|"0 - 50179.62"
"15738191"|"Maclean"|"577,00"|"Masculino"|"21-30"|"3"|",00"|"No"|"Sí"|"124508.29"|"No"|"0 - 50179.62"
"15736816"|"Young"|"756,00"|"Masculino"|"31-40"|"2"|"136815,64"|"Sí"|"Sí"|"170041.95"|"No"|"100359.24 - 150538.86"
"15700772"|"Nebechi"|"571,00"|"Masculino"|"41-50"|"9"|",00"|"No"|"No"|"38433.35"|"No"|"0 - 50179.62"
"15728693"|"McWilliams"|"574,00"|"Femenino"|"41-50"|"3"|"141349,43"|"Sí"|"Sí"|"100187.43"|"No"|"100359.24 - 150538.86"
"15656300"|"Lucciano"|"411,00"|"Masculino"|"21-30"|"0"|"59697,17"|"Sí"|"Sí"|"53483.21"|"No"|"50179.62 - 100359.24"
"15589475"|"Azikiwe"|"591,00"|"Femenino"|"31-40"|"3"|",00"|"Sí"|"No"|"140469.38"|"Sí"|"0 - 50179.62"
